(9-1-1) complex	9_1_1	fplx	FamilyOrComplex
14-3-3	p14_3_3	fplx	FamilyOrComplex
14-3-3 proteins	p14_3_3	fplx	FamilyOrComplex
14-3-3zeta	P63104	uniprot	Gene_or_gene_product
4E-BP1	Q13541	uniprot	Gene_or_gene_product
4EBP	EIF4EBP	fplx	FamilyOrComplex
4EBP1	Q13541	uniprot	Gene_or_gene_product
53BP1	Q12888	uniprot	Gene_or_gene_product
55S Mitoribosome	Mitochondrial_Ribosome	fplx	FamilyOrComplex
55S mammalian mitochondrial ribosome	Mitochondrial_Ribosome	fplx	FamilyOrComplex
55S mitoribosome	Mitochondrial_Ribosome	fplx	FamilyOrComplex
55s Mitoribosome	Mitochondrial_Ribosome	fplx	FamilyOrComplex
55s mitoribosome	Mitochondrial_Ribosome	fplx	FamilyOrComplex
9-1-1	9_1_1	fplx	FamilyOrComplex
9-1-1 complex	9_1_1	fplx	FamilyOrComplex
A2t	Annexin_II_heterotetramer	fplx	FamilyOrComplex
ABA	CHEBI:2365	chebi	Simple_chemical
ABL	ABL_family	fplx	FamilyOrComplex
ABL family	ABL_family	fplx	FamilyOrComplex
AC	D000230	mesh	Simple_chemical
AC	Q08828	uniprot	Gene_or_gene_product
ACAD	ACAD	fplx	FamilyOrComplex
ACC	ACC	fplx	FamilyOrComplex
ACCs	ACC	fplx	FamilyOrComplex
ACS	Acetyl_CoA_synthetase	fplx	FamilyOrComplex
ADP	CHEBI:16761	chebi	Simple_chemical
ADP ribosylation factor	ARF_GTPase_family	fplx	FamilyOrComplex
AHR	P35869	uniprot	Gene_or_gene_product
AICAR	CHEBI:18406	chebi	Simple_chemical
AIM1	CRYBG1	hgnc	Gene_or_gene_product
AKT	AKT	fplx	FamilyOrComplex
AKT family	AKT	fplx	FamilyOrComplex
AKT1	P31749	uniprot	Gene_or_gene_product
AKT2	P31751	uniprot	Gene_or_gene_product
ALDH	ALDH	fplx	FamilyOrComplex
ALDO	ALDO	fplx	FamilyOrComplex
ALG10	ALG10	fplx	FamilyOrComplex
ALIX	Q8WUM4	uniprot	Gene_or_gene_product
ALK	Q9UM73	uniprot	Gene_or_gene_product
ALS	P35858	uniprot	Gene_or_gene_product
AM	D000650	mesh	Simple_chemical
AM	P35318	uniprot	Gene_or_gene_product
AMG655	C554537	mesh	Simple_chemical
AMLC	MYL_alkali	fplx	FamilyOrComplex
AMP	CHEBI:16027	chebi	Simple_chemical
AMP-activated	AMPK	fplx	FamilyOrComplex
AMPA glutamate receptor	GRIA	fplx	FamilyOrComplex
AMPA receptor	GRIA	fplx	FamilyOrComplex
AMPA-R	GRIA	fplx	FamilyOrComplex
AMPA-subtype ionotropic glutamate receptors	GRIA	fplx	FamilyOrComplex
AMPAR	GRIA	fplx	FamilyOrComplex
AMPARs	GRIA	fplx	FamilyOrComplex
AMPK	AMPK	fplx	FamilyOrComplex
AMPK (A1/B1/G1)	AMPK_A1B1G1	fplx	FamilyOrComplex
AMPK (A1/B1/G2)	AMPK_A1B1G2	fplx	FamilyOrComplex
AMPK (A1/B1/G3)	AMPK_A1B1G3	fplx	FamilyOrComplex
AMPK (A1/B2/G1)	AMPK_A1B2G1	fplx	FamilyOrComplex
AMPK (A1/B2/G2)	AMPK_A1B2G2	fplx	FamilyOrComplex
AMPK (A1/B2/G3)	AMPK_A1B2G3	fplx	FamilyOrComplex
AMPK (A2/B1/G1)	AMPK_A2B1G1	fplx	FamilyOrComplex
AMPK (A2/B1/G2)	AMPK_A2B1G2	fplx	FamilyOrComplex
AMPK (A2/B1/G3)	AMPK_A2B1G3	fplx	FamilyOrComplex
AMPK (A2/B2/G1)	AMPK_A2B2G1	fplx	FamilyOrComplex
AMPK (A2/B2/G2)	AMPK_A2B2G2	fplx	FamilyOrComplex
AMPK (A2/B2/G3)	AMPK_A2B2G3	fplx	FamilyOrComplex
AMPK (alpha 1, beta 1, gamma 1)	AMPK_A1B1G1	fplx	FamilyOrComplex
AMPK (alpha 1, beta 1, gamma 2)	AMPK_A1B1G2	fplx	FamilyOrComplex
AMPK (alpha 1, beta 1, gamma 3)	AMPK_A1B1G3	fplx	FamilyOrComplex
AMPK (alpha 1, beta 2, gamma 1)	AMPK_A1B2G1	fplx	FamilyOrComplex
AMPK (alpha 1, beta 2, gamma 2)	AMPK_A1B2G2	fplx	FamilyOrComplex
AMPK (alpha 1, beta 2, gamma 3)	AMPK_A1B2G3	fplx	FamilyOrComplex
AMPK (alpha 2, beta 1, gamma 1)	AMPK_A2B1G1	fplx	FamilyOrComplex
AMPK (alpha 2, beta 1, gamma 2)	AMPK_A2B1G2	fplx	FamilyOrComplex
AMPK (alpha 2, beta 1, gamma 3)	AMPK_A2B1G3	fplx	FamilyOrComplex
AMPK (alpha 2, beta 2, gamma 1)	AMPK_A2B2G1	fplx	FamilyOrComplex
AMPK (alpha 2, beta 2, gamma 2)	AMPK_A2B2G2	fplx	FamilyOrComplex
AMPK (alpha 2, beta 2, gamma 3)	AMPK_A2B2G3	fplx	FamilyOrComplex
AMPK (α 1, β 1, γ 1)	AMPK_A1B1G1	fplx	FamilyOrComplex
AMPK (α 1, β 1, γ 2)	AMPK_A1B1G2	fplx	FamilyOrComplex
AMPK (α 1, β 1, γ 3)	AMPK_A1B1G3	fplx	FamilyOrComplex
AMPK (α 1, β 2, γ 1)	AMPK_A1B2G1	fplx	FamilyOrComplex
AMPK (α 1, β 2, γ 2)	AMPK_A1B2G2	fplx	FamilyOrComplex
AMPK (α 1, β 2, γ 3)	AMPK_A1B2G3	fplx	FamilyOrComplex
AMPK (α 2, β 1, γ 1)	AMPK_A2B1G1	fplx	FamilyOrComplex
AMPK (α 2, β 1, γ 2)	AMPK_A2B1G2	fplx	FamilyOrComplex
AMPK (α 2, β 1, γ 3)	AMPK_A2B1G3	fplx	FamilyOrComplex
AMPK (α 2, β 2, γ 1)	AMPK_A2B2G1	fplx	FamilyOrComplex
AMPK (α 2, β 2, γ 2)	AMPK_A2B2G2	fplx	FamilyOrComplex
AMPK (α 2, β 2, γ 3)	AMPK_A2B2G3	fplx	FamilyOrComplex
AMPK a1b1g1	AMPK_A1B1G1	fplx	FamilyOrComplex
AMPK a1b1g2	AMPK_A1B1G2	fplx	FamilyOrComplex
AMPK a1b1g3	AMPK_A1B1G3	fplx	FamilyOrComplex
AMPK a1b2g1	AMPK_A1B2G1	fplx	FamilyOrComplex
AMPK a1b2g2	AMPK_A1B2G2	fplx	FamilyOrComplex
AMPK a2b1g1	AMPK_A2B1G1	fplx	FamilyOrComplex
AMPK a2b2g1	AMPK_A2B2G1	fplx	FamilyOrComplex
AMPK a2b2g2	AMPK_A2B2G2	fplx	FamilyOrComplex
AMPK a2b2g3	AMPK_A2B2G3	fplx	FamilyOrComplex
AMPK alpha1beta1gamma1	AMPK_A1B1G1	fplx	FamilyOrComplex
AMPK alpha1beta1gamma2	AMPK_A1B1G2	fplx	FamilyOrComplex
AMPK alpha1beta1gamma3	AMPK_A1B1G3	fplx	FamilyOrComplex
AMPK alpha1beta2gamma1	AMPK_A1B2G1	fplx	FamilyOrComplex
AMPK alpha1beta2gamma2	AMPK_A1B2G2	fplx	FamilyOrComplex
AMPK alpha1beta2gamma3	AMPK_A1B2G3	fplx	FamilyOrComplex
AMPK alpha2beta1gamma1	AMPK_A2B1G1	fplx	FamilyOrComplex
AMPK alpha2beta1gamma2	AMPK_A2B1G2	fplx	FamilyOrComplex
AMPK alpha2beta1gamma3	AMPK_A2B1G3	fplx	FamilyOrComplex
AMPK alpha2beta2gamma1	AMPK_A2B2G1	fplx	FamilyOrComplex
AMPK alpha2beta2gamma2	AMPK_A2B2G2	fplx	FamilyOrComplex
AMPK alpha2beta2gamma3	AMPK_A2B2G3	fplx	FamilyOrComplex
AMPK α1β1γ1	AMPK_A1B1G1	fplx	FamilyOrComplex
AMPK α1β1γ2	AMPK_A1B1G2	fplx	FamilyOrComplex
AMPK α1β1γ3	AMPK_A1B1G3	fplx	FamilyOrComplex
AMPK α1β2γ1	AMPK_A1B2G1	fplx	FamilyOrComplex
AMPK α1β2γ2	AMPK_A1B2G2	fplx	FamilyOrComplex
AMPK α1β2γ3	AMPK_A1B2G3	fplx	FamilyOrComplex
AMPK α2β1γ1	AMPK_A2B1G1	fplx	FamilyOrComplex
AMPK α2β1γ2	AMPK_A2B1G2	fplx	FamilyOrComplex
AMPK α2β1γ3	AMPK_A2B1G3	fplx	FamilyOrComplex
AMPK α2β2γ1	AMPK_A2B2G1	fplx	FamilyOrComplex
AMPK α2β2γ2	AMPK_A2B2G2	fplx	FamilyOrComplex
AMPK α2β2γ3	AMPK_A2B2G3	fplx	FamilyOrComplex
AMPK-alpha1	Q13131	uniprot	Gene_or_gene_product
AMPK-alpha2	P54646	uniprot	Gene_or_gene_product
AMPK-α1	Q13131	uniprot	Gene_or_gene_product
AMPK-α2	P54646	uniprot	Gene_or_gene_product
AMPKalpha	AMPK_alpha	fplx	FamilyOrComplex
AMPKalpha1	Q13131	uniprot	Gene_or_gene_product
AMPKalpha1 catalytic domain	Q13131	uniprot	Gene_or_gene_product
AMPKα	AMPK_alpha	fplx	FamilyOrComplex
AMPKα1	Q13131	uniprot	Gene_or_gene_product
AMPKα1 catalytic domain	Q13131	uniprot	Gene_or_gene_product
AMPs	C123795	ncit	Simple_chemical
ANXA2 heterotetramer	Annexin_II_heterotetramer	fplx	FamilyOrComplex
AP-1	AP1	fplx	FamilyOrComplex
AP-2	Adaptor_protein_II	fplx	FamilyOrComplex
AP-2 adaptor complex	Adaptor_protein_II	fplx	FamilyOrComplex
AP-2 complex	Adaptor_protein_II	fplx	FamilyOrComplex
AP-2 transcription factor	TFAP2	fplx	FamilyOrComplex
AP-3	Adaptor_protein_III	fplx	FamilyOrComplex
AP1	AP1	fplx	FamilyOrComplex
AP2	Adaptor_protein_II	fplx	FamilyOrComplex
AP2 adaptor complex	Adaptor_protein_II	fplx	FamilyOrComplex
AP2 clathrin adaptor complex	Adaptor_protein_II	fplx	FamilyOrComplex
